"BGCI.GardenID","CountryCode","Institution","City","State","IHCODE","InstitutionType","Latitude","Longitude"
1097,"US","Heber W. Youngken$$ Jr. Medicinal Plant Garden","Kingston","Rhode Island","DRUPG","Botanic Garden",41.4839585,-71.5286071
1099,"NL","Stichting Pinetum Ter Borgh","Anloo","Null","ANLOO","Other",53.0357,6.7025
1101,"NL","Arboretum Eenrum","Eenrum","Null","EENRU","Botanic Garden",53.3639,6.4605
1102,"NL","Pinetum NullDe HorstlandenNull","Enschede","Null","DHORS","Other",53.2654,7.0269
1104,"NL","Beemster Arboretum","Middenbeemster","Null","BEEMS","Botanic Garden",52.5482,4.9128
1105,"NL","Von Gimborn Arboretum","Doorn","Null","U","Botanic Garden",52.0333,5.3457
1106,"NL","Stichting Pinetum de Belten","Vorden","Null","BELTP","Other",52.104,6.3124
1107,"NL","Gimbornhof","Zevenaar","Null","ZEVNR","Other",51.9282,6.0779
1108,"AR","Jardín Botánico y Arboretum NullCarlos SpegazziniNull","La Plata","Buenos Aires","LPAG","Botanic Garden",-34.91223,-57.93111
1109,"BG","Hortus Botanicus of the Institute Silvotechnici Superioris","Sofia","Null","SOFHB","Botanic Garden",42.7105,23.3238
1110,"BG","Hortus Botanicus of the Faculty of Pharmacy","Sofia","Null","SOFIA","Botanic Garden",42.7105,23.3238
1111,"PH","University of Santo Tomas Botanical Garden","Manila","Null","MANPH","Botanic Garden",14.6021,120.9996
1112,"PH","Arboretum of the University of the Philippines","Quezon City","Null","PNH","Botanic Garden",14.6628,121.0653
1113,"AZ","Arboretum Azerb NIILH","Barda","Null","Null","Botanic Garden",40.3831,47.1186
1114,"RU","Cheboksary Botanical Garden","Cheboksary","Null","CHEBK","Botanic Garden",56.1374,47.244
1115,"UA","Arboretum NullVeseli BokovenkiNull","Null","Null","DOLIN","Botanic Garden",48.2173,32.8592
1116,"LT","Dubrava Arboretum","Vaisvydava$$ LT 53106","KAUNAS district","GADES","Botanic Garden",54.8423,24.0452
1117,"BY","Arboretum Bel NIILH","Gomel","Null","GOMEL","Botanic Garden",52.5266,31.0216
1118,"RU","Gorno-Altai Botanical Garden / Горно-Алтайский ботанический сад","Gorno-Altai","Atlai krai","GORNO","Botanic Garden",51.9581,85.9712
1119,"RU","Botanical Garden Checheno-Ingush Pedagogic Institute","Grozny","Null","GROZN","Botanic Garden",57.5391,71.9646
4960,"AU","Alexandra Gardens","Ararat","Victoria","Null","Botanic Garden",-37.28025,142.93111
1121,"RU","Botanical Garden of the Tuberculosis Clinic","Rodnyky","Null","RODNY","Botanic Garden",57.1089,41.7377
1122,"RU","Dendrological Garden VNIILM","Ivanteyevka","Null","IVANT","Botanic Garden",55.9869,37.9695
1123,"RU","Botanic Garden of Tver State University","Tver","Null","TVER","Botanic Garden",56.8666,35.9333
1124,"RU","Arboretum of the Research Institute of","Kamyshin","Null","ARBRA","Botanic Garden",50.0825,45.3926
1125,"LT","Botanical Academy of Agriculture Kaunas","Kaunas","Null","BAAK","Botanic Garden",54.8968,23.8924
1127,"MD","Arboretum NPO","Kishinev","Null","KISHA","Botanic Garden",47.0167,28.8497
1128,"RU","Botanical Garden Kursk","Kursk","Null","KURMI","Botanic Garden",51.7402,36.1848
1129,"UA","Botanical Garden Lutsk","Lutsk","Null","LSPIB","Botanic Garden",50.746391,25.330839
1130,"EE","Jarvselja Arboretum","Meeksi","Null","JARVA","Botanic Garden",58.2157,27.4375
1131,"UA","Botanical Garden of Odessa National I.I.Mechnikov University","Odessa","Null","MSUD","Botanic Garden",46.4464,30.76237
1132,"RU","Arboretum Sovhoz NullDekorativnyje KulturyNull","Omsk","Null","OMSAR","Botanic Garden",54.9709,73.3937
1133,"RU","Arboretum of Pereslavi","PERESLAVL' ZALESSKLY","Null","PERES","Botanic Garden",56.7347,38.8874
1134,"RU","Arboretum of Saratov Institute of Agriculture","Saratov","Null","SARIA","Botanic Garden",51.5332,46.0345
1135,"RU","Dendrarium NullBelye NochiNull","Sochi","Null","DENBN","Other",43.6115,39.7224
